Author,Section,Question,Answer
Auto Summary,2.0,What is the name of the early natural language processing system that could carry on a limited conversation with a user by imitating the responses of ,ELIZA
Auto Summary,2.0,ELIZA could carry on a limited conversation with a user by imitating the responses of what?,Rogerian psychotherapist
Auto Summary,2.0,Who's mimicry of human conversation was remarkably successful?,Eliza
Auto Summary,2.0,What do modern conversational agents rely on?,more sophisticated understanding of the user's intent
Auto Summary,2.0,English words are separated from each other by what?,whitespace
Auto Summary,2.0,What is an example of a hashtag?,#nlproc
Auto Summary,2.0,What language doesn't have spaces between words?,Japanese
Auto Summary,2.1.0,What is an algebraic notation for characterizing a set of strings?,regular expression
Auto Summary,2.1.0,What are two examples of regular expressions?,Unix tools grep or Emacs
Auto Summary,2.1.0,What types of regular expressions do regular expressions come in?,variants
Auto Summary,2.1.1,"To search for woodchuck, we type what?",/woodchuck/
Auto Summary,2.1.1,What does the expression /Buttercup/ match?,any string containing the substring Buttercup
Auto Summary,2.1.1,What can the search string consist of?,a single character
Auto Summary,2.1.1,The pattern /[wW]/ matches patterns containing what two characters?,w or W
Auto Summary,2.1.1,What do square brackets not allow us to say?,s or nothing
Auto Summary,2.1.1,What does the question mark /?/ mean?,the preceding character or nothing
Auto Summary,2.1.1,What does the question mark /?/ mean?,the preceding character or nothing
Auto Summary,2.1.1,"What means ""any string of zero or more as""?",/a*/
Auto Summary,2.1.1,"What means ""any string of zero or more as""?",/a*/
Auto Summary,2.1.1,What can we extend /[0-9//. for a single digit?,multiple digits
Auto Summary,2.1.1,"For specifying multiple digits, we can extend /[0-9//. for what?",single digit
Auto Summary,2.1.1,"What are two ways to specify ""at least one"" of some character?",/baaa*!/ or /baa+!/
Auto Summary,2.1.1,"How many ways to specify ""at least one"" of some character?",two
Auto Summary,2.1.1,"What pattern matches the word ""The"" only at the start of a line?",The
Auto Summary,2.1.2,What is another name for the disjunction operator?,pipe symbol
Auto Summary,2.1.2,When do we need to use the disjunction operator?,in the midst of a larger sequence
Auto Summary,2.1.2,What do I want to search for for my cousin David?,pet fish
Auto Summary,2.1.2,What will the expression /Column [0-9] */ match?,a single column followed by a number of spaces
Auto Summary,2.1.2,The idea that one operator may take precedence over another is formalized by what for regular expressions?,operator precedence hierarchy
Auto Summary,2.1.2,What is a Kleene star that matches as little text as possible?,*
Auto Summary,2.1.2,What is the operator *??,Kleene star
Auto Summary,2.1.3,What is an example of an incorrect pattern?,/the/
Auto Summary,2.1.3,What happens when a pattern begins a sentence?,miss the word
Auto Summary,2.1.3,What is the pattern that will miss the word when it begins a sentence?,/[tT]he/
Auto Summary,2.1.3,What do we want instances with on both sides?,word boundary
Auto Summary,2.1.3,What does /b/ not treat as word boundaries?,underscores and numbers
Auto Summary,2.1.3,What are two kinds of errors?,false positives and false negatives
Auto Summary,2.1.3,Reducing error rate involves increasing precision (minimizing false positives) and what?,increasing recall
Auto Summary,2.1.3,When will we come back to precision and recall with more precise definitions?,Chapter 4
Auto Summary,2.1.4,Where can a range of numbers be specified by enclosing them?,curly brackets
Auto Summary,2.1.4,Where can a range of numbers be specified by enclosing them?,curly brackets
Auto Summary,2.1.4,What are referred to by special notation based on the backslash?,special characters
Auto Summary,2.1.5,What is a simple regular expression for a dollar sign followed by a string of digits?,/$[0-9+/
Auto Summary,2.1.5,What character has a different function here than the end-of-line function?,$
Auto Summary,2.1.5,Let's try out a more significant example of the power of what?,REs
Auto Summary,2.1.5,What do we need to allow for?,optional fractions
Auto Summary,2.1.5,What does this pattern only allow?,$199.99
Auto Summary,2.1.5,What do we need to do to allow for optional fractions?,limit the dollars
Auto Summary,2.1.5,What is the limit to the dollars?,*(GB|[Gg]igabytes
Auto Summary,2.1.5,What is the limit of dollars?,b/
Auto Summary,2.1.6,What is an important use of regular expressions?,substitutions
Auto Summary,2.1.6,What is the substitution operator used in Python and in Unix commands like vim or sed?,s/regexp1/pattern/
Auto Summary,2.1.6,What is the substitution operator s/regexp1/pattern/ often useful to be able to refer to?,a particular subpart of the string matching the first pattern
Auto Summary,2.1.6,What simulates a Rogerian psychologist?,ELIZA
Auto Summary,2.1.6,Substitutions and what are very useful in implementing simple chatbots?,capture groups
Auto Summary,2.1.6,What do the first substitutions do?,"change all instances of MY to YOUR, and I'M to YOU ARE"
Auto Summary,2.1.6,What does the next set of substitutions do in the input?,matches and replaces other patterns
Auto Summary,2.1.7,What is commonly used when we are parsing complex patterns but want to rule out a special case?,Negative lookahead
Auto Summary,2.1.7,What is the operator true if pattern occurs?,pattern
Auto Summary,2.1.7,"The operator (?= pattern) is true if pattern occurs, but is zero-width, i.e. what doesn't advance",match pointer
Auto Summary,2.2,What is a million-word collection of samples from 500 written English texts from different genres called?,The Brown corpus
Auto Summary,2.2,What is critical for finding boundaries of things?,Punctuation
Auto Summary,2.2,"For some tasks, like part-of-speech tagging or parsing or speech synthesis, we treat punctuation marks as",separate words
Auto Summary,2.2,What are words like uh and um called fillers?,filled pauses
Auto Summary,2.2,What is helpful in speech recognition in predicting the upcoming word?,Disfluencies
Auto Summary,2.2,What is a useful feature for part-of-speech or named-entity tagging?,capitalization
Auto Summary,2.2,"For morphologically complex languages like Arabic, we often need to deal with what?",lemmatization
Auto Summary,2.2,"The more corpora we look at, the more word types we find.",larger
Auto Summary,2.2,What is the relationship between word types in the Brown corpus called?,Herdan's Law or Heaps' Law
Auto Summary,2.2,How many entries were in the 1989 edition of the Oxford English Dictionary?,"615,000"
Auto Summary,2.2,What is sufficient for many tasks in English?,wordforms
Auto Summary,2.3,When are NLP algorithms most useful?,when they apply across many languages
Auto Summary,2.3,How many languages does the world have?,7097
Auto Summary,2.3,"When developing computational models for language processing from a corpus, it's important to consider what?","who produced the language, in what context, for what purpose"
Auto Summary,2.3,Text also reflects what of the writer?,demographic characteristics
Auto Summary,2.3,How does a corpus of texts from different historical periods change?,Language changes over time
Auto Summary,2.4.0,"Before almost any natural language processing of a text, the text has to be what?",normalized
Auto Summary,2.4.0,What is the term for segmenting words?,Tokenizing
Auto Summary,2.4.0,How do we go through each of these tasks?,walk through
Auto Summary,2.4.1,"tr, sort, uniq, sort and uniq are commands from what operating system?",Unix
Auto Summary,2.4.1,What is the name of the textfile that contains the complete words of Shakespeare?,sh.txt
Auto Summary,2.4.1,"What is an easy, if somewhat naive version of word?",tokenization
Auto Summary,2.4.1,What can Unix tools be useful for?,building quick word count statistics
Auto Summary,2.4.1,What can we use to tokenize the words by changing every sequence of non-alphabetic characters to a newline?,tr
Auto Summary,2.4.1,What are the most frequent words in Shakespeare?,"articles, pronouns, prepositions"
Auto Summary,2.4.2,What do most NLP applications need to keep?,"punctuation, numbers and punctuation"
Auto Summary,2.4.2,What is a useful piece of information for parsers?,break off punctuation
Auto Summary,2.4.2,What are clitic contractions marked by?,apostrophes
Auto Summary,2.4.2,What is a common tokenization standard?,Penn Treebank tokenization
Auto Summary,2.4.2,What are deterministic algorithms compiled into?,finite state automata
Auto Summary,2.4.2,How many characters long are words on average?,2.4
Auto Summary,2.4.2,What is a single unit of meaning called in Chinese?,a morpheme
Auto Summary,2.4.2,For most Chinese NLP tasks it works better to take what as input?,characters
Auto Summary,2.4.2,What NLP algorithms require algorithms for word segmentation?,Japanese and Thai
Auto Summary,2.4.3,What is another name for a corpus that NLP algorithms learn from?,training corpus
Auto Summary,2.4.3,What can be arbitrary substrings?,Subwords
Auto Summary,2.4.3,What is an important problem in language processing?,unknown words
Auto Summary,2.4.3,What is the name of the algorithm used by Schuster and Nakajima in 2012?,WordPiece
Auto Summary,2.4.3,What does the BPE token learner begin with?,a vocabulary
Auto Summary,2.4.3,What is the new merged symbol added to the vocabulary?,AB
Auto Summary,2.4.3,What is the most frequent pair of adjacent symbols?,e r
Auto Summary,2.4.3,What runs on the test data the merges we have learned from the training data?,The token parser
Auto Summary,2.4.4,What is the task of putting words/tokens in a standard format?,Word normalization
Auto Summary,2.4.4,Mapping everything to lower case means what are represented identically?,Woodchuck and woodchuck
Auto Summary,2.4.4,What is generally not done for sentiment analysis analysis and machine translation?,case folding
Auto Summary,2.4.4,What is the study of the way words are built up from smaller meaning-bearing units called morphemes?,Morphology
Auto Summary,2.4.4,What is the most sophisticated method for lemmatization?,complete morphological parsing
Auto Summary,2.4.4,What is the Porter stemmer algorithm based on?,"series of rewrite rules run in series, as a cascade"
Auto Summary,2.4.5,What is another important step in text processing?,Sentence segmentation
