Author,Section,Question,Answer
Raw Text,2.0,ELIZA could carry on a limited conversation with a user by imitating the responses of what?,Rogerian psychotherapist
Raw Text,2.0,What is the output of ELIZA?,"""What would it mean to you if you got X?"""
Raw Text,2.0,What program doesn't need to know anything to mimic a Rogerian psychotherapist?,ELIZA
Raw Text,2.0,When did Weizenbaum write about ELIZA?,1976
Raw Text,2.0,What do modern conversational agents rely on?,more sophisticated understanding of the user's intent
Raw Text,2.0,What kind of methods did ELIZA use?,simple pattern-based methods
Raw Text,2.0,What is the most important tool for describing text patterns?,regular expression
Raw Text,2.0,What can be used to specify strings we might want to extract from a document?,Regular expressions
Raw Text,2.0,What is a set of tasks collectively called?,text normalization
Raw Text,2.0,"What means converting text to a more convenient, standard form?",Normalizing
Raw Text,2.0,What is the task of normalizing text?,tokenization
Raw Text,2.0,English words are often separated from each other by what?,whitespace
Raw Text,2.0,What are sometimes treated as large words despite the fact that they contain spaces?,New York and rock 'n' roll
Raw Text,2.0,What is a hashtag that we'll need to tokenize for processing tweets?,#nlproc
Raw Text,2.0,What language doesn't have spaces between words?,Japanese
Raw Text,2.0,What is the task of determining that two words have the same root?,lemmatization
Raw Text,2.0,What is the common lemma of the words sing?,sing
Raw Text,2.0,"What is the common lemma of the words sang, sung, and sings?",sing
Raw Text,2.0,What is essential for processing morphologically complex languages like Arabic?,Lemmatization
Raw Text,2.0,What refers to a simpler version of lemmatization in which we mainly strip suffixes from the end of the word?,Stemming
Raw Text,2.0,Text normalization breaks up a text into individual what?,sentences
Raw Text,2.0,What will we need to do with words and other strings?,compare
Raw Text,2.0,What metric measures how similar two strings are based on the number of edits?,edit distance
Raw Text,2.0,What is an algorithm with applications throughout language processing?,Edit distance
Raw Text,2.1.0,What language is used for specifying text search strings?,regular expression
Raw Text,2.1.0,What are some of the tools that use the regular expression?,Unix tools grep or Emacs
Raw Text,2.1.0,What is a regular expression?,algebraic notation
Raw Text,2.1.0,Regular expressions are particularly useful for searching in texts when we have a pattern to search for and what to search through?,corpus of texts
Raw Text,2.1.0,"What will search through the corpus, returning all texts that match the pattern?",A regular expression search function
Raw Text,2.1.0,What types of corpus can a regular expression search function search through?,a single document or a collection
Raw Text,2.1.0,What Unix command-line tool takes a regular expression and returns every line of the input document that matches the expression?,grep
Raw Text,2.1.0,What can a regular expression search return if there are more than one match?,every match on a line
Raw Text,2.1.0,What do we usually underline in the following examples?,the exact part of the pattern that matches the regular expression
Raw Text,2.1.0,What are regular expressions delimited by?,slashes
Raw Text,2.1.0,Regular expressions come in many what?,variants
Raw Text,2.1.0,What will we be describing?,extended regular expressions
Raw Text,2.1.0,What is a handy way to test out your regular expressions?,online regular expression tester
Raw Text,2.1.1,What is the simplest kind of regular expression?,a sequence of simple characters
Raw Text,2.1.1,"To search for woodchuck, we type what?",/woodchuck/
Raw Text,2.1.1,What expression matches any string containing the substring Buttercup?,/Buttercup/
Raw Text,2.1.1,What is an example of a sequence of characters in a regular expression?,/urgl/
Raw Text,2.1.1,Regular expressions are what?,case sensitive
Raw Text,2.1.1,What will the pattern /woodchucks/ not match?,the string Woodchucks
Raw Text,2.1.1,What can be used to solve this problem?,square braces
Raw Text,2.1.1,What specifies a disjunction of characters to match?,The string of characters inside the braces
Raw Text,2.1.1,What shows that the pattern /[wW]/ matches patterns containing either w or W?,Fig. 2.2
Raw Text,2.1.1,What does the regular expression /[1234567890]/ specify?,specifies any single digit
Raw Text,2.1.1,What classes of characters are important building blocks in expressions?,digits or letters
Raw Text,2.1.1,What can be used with the dash (-) to specify any one character in a range?,brackets
Raw Text,2.1.1,What does the pattern /[2-5]/ specify?,"any one of the characters 2, 3, 4, or 5"
Raw Text,2.1.1,The pattern /[b-g]/ specifies one of which characters?,"b, c, d, e, f, or g"
Raw Text,2.1.1,What can be used to specify what a single character cannot be?,square braces
Raw Text,2.1.1,What can be used to specify what a single character cannot be?,square braces
Raw Text,2.1.1,What is the first symbol after the open square brace?,caret
Raw Text,2.1.1,What is the first symbol after the open square brace?,a
Raw Text,2.1.1,What is the first symbol after the open square brace?,caret
Raw Text,2.1.1,What does the caret stand for if it occurs anywhere else?,a caret
Raw Text,2.1.1,What is an optional s in woodchuck and woodchucks?,optional elements
Raw Text,2.1.1,What do square brackets not allow us to say?,s or nothing
